Game,Opponent,PlayerA_Score,PlayerB_Score,Cumulative_Score,CCs,DDs,Winner
0,QLearningPlayer,218,233,451,26,25,QLearningPlayer
1,QLearningPlayer,226,221,447,25,26,Player A
2,QLearningPlayer,249,204,453,25,24,Player A
3,QLearningPlayer,211,236,447,25,26,QLearningPlayer
4,QLearningPlayer,254,189,443,30,29,Player A
5,QLearningPlayer,240,205,445,26,27,Player A
6,QLearningPlayer,222,237,459,22,21,QLearningPlayer
7,QLearningPlayer,239,219,458,21,21,Player A
8,QLearningPlayer,216,241,457,20,21,QLearningPlayer
9,QLearningPlayer,197,252,449,27,26,QLearningPlayer
10,QLearningPlayer,211,236,447,25,26,QLearningPlayer
11,QLearningPlayer,221,231,452,24,24,QLearningPlayer
12,QLearningPlayer,216,241,457,23,22,QLearningPlayer
13,QLearningPlayer,223,233,456,22,22,QLearningPlayer
14,QLearningPlayer,198,248,446,27,27,QLearningPlayer
15,QLearningPlayer,232,212,444,28,28,Player A
16,QLearningPlayer,233,213,446,27,27,Player A
17,QLearningPlayer,216,236,452,24,24,QLearningPlayer
18,QLearningPlayer,205,255,460,20,20,QLearningPlayer
19,QLearningPlayer,240,210,450,25,25,Player A
20,QLearningPlayer,207,242,449,24,25,QLearningPlayer
21,QLearningPlayer,208,233,441,31,30,QLearningPlayer
22,QLearningPlayer,266,181,447,25,26,Player A
23,QLearningPlayer,231,221,452,24,24,Player A
24,QLearningPlayer,269,184,453,25,24,Player A
25,QLearningPlayer,212,242,454,23,23,QLearningPlayer
26,QLearningPlayer,222,227,449,24,25,QLearningPlayer
27,QLearningPlayer,211,231,442,29,29,QLearningPlayer
28,QLearningPlayer,274,179,453,25,24,Player A
29,QLearningPlayer,203,253,456,22,22,QLearningPlayer
30,QLearningPlayer,180,270,450,25,25,QLearningPlayer
31,QLearningPlayer,180,265,445,26,27,QLearningPlayer
32,QLearningPlayer,224,234,458,21,21,QLearningPlayer
33,QLearningPlayer,225,220,445,29,28,Player A
34,QLearningPlayer,194,254,448,26,26,QLearningPlayer
35,QLearningPlayer,226,211,437,30,31,Player A
36,QLearningPlayer,217,232,449,27,26,QLearningPlayer
37,QLearningPlayer,166,291,457,20,21,QLearningPlayer
38,QLearningPlayer,209,234,443,30,29,QLearningPlayer
39,QLearningPlayer,224,224,448,26,26,Tie
40,QLearningPlayer,216,231,447,25,26,QLearningPlayer
41,QLearningPlayer,174,279,453,25,24,QLearningPlayer
42,QLearningPlayer,246,206,452,24,24,Player A
43,QLearningPlayer,241,206,447,25,26,Player A
44,QLearningPlayer,207,247,454,23,23,QLearningPlayer
45,QLearningPlayer,211,236,447,28,27,QLearningPlayer
46,QLearningPlayer,243,198,441,28,29,Player A
47,QLearningPlayer,211,241,452,24,24,QLearningPlayer
48,QLearningPlayer,212,242,454,23,23,QLearningPlayer
49,QLearningPlayer,181,266,447,28,27,QLearningPlayer
50,QLearningPlayer,264,184,448,26,26,Player A
51,QLearningPlayer,192,252,444,28,28,QLearningPlayer
52,QLearningPlayer,224,224,448,26,26,Tie
53,QLearningPlayer,192,252,444,28,28,QLearningPlayer
54,QLearningPlayer,229,214,443,27,28,Player A
55,QLearningPlayer,207,242,449,27,26,QLearningPlayer
56,QLearningPlayer,227,227,454,23,23,Tie
57,QLearningPlayer,228,223,451,23,24,Player A
58,QLearningPlayer,240,210,450,25,25,Player A
59,QLearningPlayer,200,240,440,30,30,QLearningPlayer
60,QLearningPlayer,178,278,456,22,22,QLearningPlayer
61,QLearningPlayer,209,244,453,25,24,QLearningPlayer
62,QLearningPlayer,237,212,449,24,25,Player A
63,QLearningPlayer,256,191,447,28,27,Player A
64,QLearningPlayer,236,211,447,25,26,Player A
65,QLearningPlayer,250,205,455,24,23,Player A
66,QLearningPlayer,256,191,447,25,26,Player A
67,QLearningPlayer,207,247,454,23,23,QLearningPlayer
68,QLearningPlayer,223,228,451,26,25,QLearningPlayer
69,QLearningPlayer,235,210,445,26,27,Player A
70,QLearningPlayer,238,208,446,27,27,Player A
71,QLearningPlayer,248,203,451,26,25,Player A
